ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
39,Pascal Siakam,TOR,27,17,6,11,34.4,19.1,7.4,15.6,47.0,1.1,3.5,30.0,3.4,4.5,74.0,1.9,5.7,7.6,3.7,2.2,0.6,0.8,3.3,36.0,4,0,1.4
40,Darius Garland,CLE,21,28,17,11,34.2,19.0,7.1,15.1,46.7,2.6,6.8,38.9,2.2,2.5,89.9,0.4,2.6,3.0,7.4,3.8,1.3,0.1,1.9,34.0,8,0,7.6
41,D'Angelo Russell,MIN,25,23,13,10,32.8,18.8,6.5,16.7,38.7,2.9,8.8,33.2,3.0,3.7,81.0,0.5,3.6,4.1,6.4,2.6,0.9,0.7,2.1,35.4,2,0,7.2
42,Jonas Valanciunas,NOP,29,30,9,21,31.3,18.7,7.2,13.9,52.2,1.1,2.4,46.5,3.2,3.9,81.9,3.6,8.5,12.1,2.4,2.2,0.6,0.9,3.1,39.3,23,0,-2.6
43,Bam Adebayo,MIA,24,18,10,8,32.9,18.7,7.0,13.5,51.9,0.0,0.1,0.0,4.7,6.2,75.9,2.7,7.4,10.2,3.2,2.9,1.1,0.3,3.3,37.1,9,0,1.6
44,Tobias Harris,PHI,29,21,9,12,34.3,18.5,7.1,15.6,45.9,1.2,4.1,29.9,3.0,3.5,84.9,1.0,6.7,7.7,3.4,1.6,0.3,0.6,1.7,33.9,4,0,-2.0
45,Gordon Hayward,CHA,31,30,16,14,34.3,18.4,6.5,13.8,47.0,1.9,4.6,40.3,3.6,4.2,85.7,0.9,4.0,4.9,3.9,1.9,0.8,0.6,1.8,32.5,1,0,0.3
46,Andrew Wiggins,GSW,26,28,23,5,30.9,18.4,6.8,14.0,48.8,2.1,5.3,40.8,2.6,3.7,70.9,1.2,3.3,4.5,1.8,1.6,0.8,0.6,1.7,29.0,0,0,6.1
47,Dillon Brooks,MEM,25,15,10,5,27.8,18.3,6.6,15.8,41.8,1.6,4.9,32.4,3.5,4.0,88.3,0.7,2.9,3.5,2.9,2.1,1.2,0.1,3.4,28.8,0,0,6.1
48,Domantas Sabonis,IND,25,31,13,18,34.1,18.3,7.0,11.9,59.0,0.7,2.4,29.3,3.6,4.7,76.0,3.3,8.5,11.8,4.2,3.0,1.1,0.4,3.2,40.1,23,1,2.9
49,Jordan Poole,GSW,22,28,23,5,30.7,17.9,6.2,14.0,44.2,2.6,7.8,33.8,2.9,3.1,90.9,0.3,3.1,3.4,3.4,2.5,1.0,0.2,2.9,28.4,0,0,5.4
50,Norman Powell,POR,28,25,9,16,31.4,17.8,6.0,13.0,46.6,2.0,5.0,40.3,3.8,4.6,82.5,0.3,2.4,2.7,1.9,1.4,0.9,0.4,2.1,26.5,0,0,-2.1
