ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
44,Bam Adebayo,MIA,24,18,10,8,32.9,18.7,7.0,13.5,51.9,0.0,0.1,0.0,4.7,6.2,75.9,2.7,7.4,10.2,3.2,2.9,1.1,0.3,3.3,37.1,9,0,1.6
45,Andrew Wiggins,GSW,26,29,24,5,31.1,18.7,7.0,14.2,49.1,2.2,5.3,42.2,2.5,3.6,70.9,1.2,3.3,4.5,1.8,1.6,0.8,0.6,1.8,29.5,0,0,6.4
46,Tobias Harris,PHI,29,21,9,12,34.3,18.5,7.1,15.6,45.9,1.2,4.1,29.9,3.0,3.5,84.9,1.0,6.7,7.7,3.4,1.6,0.3,0.6,1.7,33.9,4,0,-2.0
47,Domantas Sabonis,IND,25,31,13,18,34.1,18.3,7.0,11.9,59.0,0.7,2.4,29.3,3.6,4.7,76.0,3.3,8.5,11.8,4.2,3.0,1.1,0.4,3.2,40.1,23,1,2.9
48,Norman Powell,POR,28,27,11,16,31.9,18.1,6.1,13.1,46.8,2.2,5.3,41.5,3.6,4.4,82.2,0.3,2.4,2.7,2.1,1.6,0.9,0.4,2.2,26.8,0,0,-1.8
49,Dejounte Murray,SAS,25,29,11,18,34.4,17.9,7.5,16.9,44.6,1.3,4.0,33.0,1.6,2.3,68.7,1.1,7.3,8.3,8.5,2.4,1.9,0.4,2.0,45.1,14,5,0.4
50,Jordan Poole,GSW,22,28,23,5,30.7,17.9,6.2,14.0,44.2,2.6,7.8,33.8,2.9,3.1,90.9,0.3,3.1,3.4,3.4,2.5,1.0,0.2,2.9,28.4,0,0,5.4
51,Khris Middleton,MIL,30,21,15,6,30.9,17.8,6.1,14.8,41.2,2.2,6.2,35.1,3.4,3.9,87.8,0.6,5.1,5.7,4.9,3.1,1.1,0.1,2.1,32.6,0,0,4.6
52,Gordon Hayward,CHA,31,32,16,16,33.7,17.7,6.3,13.6,46.1,1.8,4.7,39.6,3.4,3.9,85.7,0.8,3.9,4.8,3.8,1.9,0.8,0.6,1.7,31.3,1,0,-1.4
53,Reggie Jackson,LAC,31,30,16,14,33.1,17.4,6.6,16.9,39.3,2.6,8.1,32.6,1.5,1.9,80.7,0.6,2.9,3.5,4.3,2.1,0.7,0.2,1.8,28.6,2,0,3.0
54,Harrison Barnes,SAC,29,26,10,16,33.7,17.4,5.3,11.8,44.8,1.8,4.7,38.2,5.1,6.0,85.2,1.3,5.2,6.5,2.5,1.8,0.9,0.1,1.3,30.1,4,0,-3.4
54,Luguentz Dort,OKC,22,26,9,17,32.3,17.4,6.0,13.9,43.4,2.5,7.5,33.8,2.8,3.3,83.9,0.7,3.1,3.8,1.8,1.6,0.9,0.3,2.8,26.8,0,0,-8.0
56,Jrue Holiday,MIL,31,25,17,8,32.7,17.3,7.2,15.0,47.9,1.7,4.8,35.3,1.3,2.0,67.3,0.8,3.6,4.4,6.4,2.6,1.4,0.5,2.0,35.3,2,0,7.6
57,John Collins,ATL,24,29,14,15,32.4,17.2,6.5,11.7,55.6,1.2,3.1,39.6,2.9,3.7,79.4,1.8,6.1,7.9,2.1,1.1,0.8,1.2,3.0,34.7,8,0,3.7
